code,num
C1072,739.4294465402357
C1128,1347.6882577274957
C1456,509.52245216353555
C1840,433.93008251367604
C1332,1236.5027678255537
C1563,2125.6726606684533
C1794,974.9746314988915
C1640,567.9600471011128
C1377,216.73110908901123
C2072,249.38633117944374
C1472,400.3928794242677
C1006,161.7690318856957
C1083,364.7480665358089
C1311,309.18712390836953
C2676,217.11487230412413
C2318,166.28742254514304
C1603,442.1291450085471
C2523,400.1000946129559
C2177,166.2083643180364
C2411,693.3645267294403
C2033,208.28786617234675
C1604,332.51826494778425
C2535,385.3014656422501
C1040,335.49954685314367
C2417,323.84910091728267
C1812,106.85941255015891
C2253,140.4824315384225
C1294,650.1113395352152
C1772,521.6080713281964
C2646,681.8003138444623
C1152,851.2303588567536
C2423,142.7800436938198
C1844,427.37301210770613
C1318,243.61936957581486
C1729,140.97150869983113
C1602,292.0702973702498
C1239,382.73134646641296
C1721,604.3368208944305
C1902,790.0800020727638
C1855,318.470257301861
C2600,336.66184732279123
C1071,513.500298958565
C2295,544.2937139490766
C1621,589.8382885860037
C1852,954.7273708867458
C2555,1521.8064684732917
C1297,433.45638639935726
C2323,570.6756021930695
C2215,408.100490691004
C2112,349.3912602620031
C1830,800.6327290248715
C2602,237.89638135443298
C2608,897.2164101439176
C1215,498.5944493764075
C2369,532.4228751740732
C1158,305.12233611497413
C1887,598.8946419598556
C1189,209.20759843763867
C1637,399.08343039420333
C1225,195.26303361428634
C2374,330.59295123307083
C2397,540.8558460719738
C1105,1024.7138129518735
C1782,486.8895603616597
C1629,241.89707538805146
C1708,282.54890479123213
C2144,497.05404623348204
C1617,762.5953492995964
C1149,560.2575800985118
C1323,348.26035213531793
C1064,744.6120766273832
C1019,276.9797601881114
C2269,597.602381351074
C1416,951.6024555005031
C1250,956.2213601497156
C1741,420.8580755226483
C1016,613.8965614262838
C2675,
C2436,531.9476883151052
C2039,957.1738499230642
C1253,836.9137997502504
C2028,1165.4279596823712
C1166,343.10255150565933
C1135,213.12449509377376
C1216,268.8623414059208
C1593,238.74941122327385
C1826,189.3645972598084
C1827,405.4524858800553
C1564,271.905680990324
C1495,930.7702759182725
C2653,952.20775737666
C1392,688.6662489584568
C2128,290.70724947954056
C1282,553.7272708019553
C1521,1110.4485205043388
C2076,927.3200200175143
C1060,617.4921500972729
C2473,1027.1503031915204
C2557,700.8098138680326
C1835,859.3241057513053
C2224,744.6615717867091
C2222,382.48768094897207
C2430,728.1969894303986
C2497,675.1911915795895
C1494,961.2914160438623
C1457,441.5942324189863
C1525,1241.0082045752965
C1712,687.3119593861701
C2267,877.1819223098114
C1623,289.610835752181
C2131,524.0630133704166
C2691,876.9915376022655
C1147,707.4670536425217
C1692,1025.6270357691908
C1570,971.9498987270557
C1474,123.98156237266487
C1633,137.8133092445627
C2113,467.0343794969068
C2175,910.8894488617358
C2303,1626.414515616788
C2547,496.95390383878595
C2292,696.4928115455191
C1496,873.492825307978
C1289,312.5994418875158
C1849,809.5250514708208
C1003,222.57501247392273
C2268,280.41927089629894
C2551,457.9077023274067
C2688,85.92229599500081
C1030,31.34398433626665
C1327,
C2451,535.7714950784913
C1749,401.20724844426576
C1349,321.21012519422777
C2043,217.11716601198262
C1229,206.18010991226754
C2363,440.93760367288576
C1414,374.85357231662397
C2174,330.4797914322265
C2091,96.87996334100158
C2335,
C1841,63.694111293403296
C2404,151.41466054621634
C1683,220.69842621480808
C1038,328.66556622744895
C2456,270.19639446788955
C1266,432.888943859669
C2152,48.257560371361194
C1267,360.7849945739965
C2189,149.17581116069758
