단지코드,총세대수,전용면적별세대수,공가수,임대보증금,도보 10분거리 내 지하철역 수(환승노선 수 반영),도보 10분거리 내 버스정류장 수,A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,실거주세대수,세대수비율주차면수,강원도,경기도,경상남도,경상북도,광주광역시,대구광역시,대전광역시,부산광역시,세종특별자치시,울산광역시,전라남도,전라북도,제주특별자치도,충청남도,충청북도,상가,아파트,세대수 규모 당 총 전용면적,단지별 총 전용면적
C2515,545,276,17.0,9216000.0,0.0,3.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,528,326.1818181818182,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8280.0,20245.0
C2515,545,60,17.0,12672000.0,0.0,3.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,528,70.9090909090909,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2100.0,20245.0
C2515,545,20,17.0,12672000.0,0.0,3.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,528,23.636363636363637,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,700.0,20245.0
C2515,545,38,17.0,18433000.0,0.0,3.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,528,44.909090909090914,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1710.0,20245.0
C2515,545,19,17.0,18433000.0,0.0,3.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,528,22.454545454545457,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,855.0,20245.0
C2515,545,106,17.0,23042000.0,0.0,3.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,528,125.27272727272727,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5300.0,20245.0
C2515,545,26,17.0,23042000.0,0.0,3.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,528,30.727272727272727,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1300.0,20245.0
C1407,1216,288,13.0,15620000.0,1.0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1203,307.6309226932668,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,8640.0,47680.0
C1407,1216,68,13.0,15620000.0,1.0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1203,72.63507896924355,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2040.0,47680.0
C1407,1216,34,13.0,15620000.0,1.0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1203,36.317539484621776,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1020.0,47680.0
C1407,1216,148,13.0,27637000.0,1.0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1203,158.08811305070657,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,5920.0,47680.0
C1407,1216,74,13.0,27637000.0,1.0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1203,79.04405652535328,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2960.0,47680.0
C1407,1216,70,13.0,27637000.0,1.0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1203,74.77140482128014,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2800.0,47680.0
C1407,1216,70,13.0,27637000.0,1.0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1203,74.77140482128014,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2800.0,47680.0
C1407,1216,170,13.0,36048000.0,1.0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1203,181.5876974231089,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,7650.0,47680.0
